d,table_size,trial,max_load_factor,elements_inserted
2,10000,0,0.525409,20000
2,10000,1,0.516727,20000
2,10000,2,0.503409,20000
2,10000,3,0.518136,20000
2,10000,4,0.502364,20000
2,50000,0,0.471718,100000
2,50000,1,0.476018,100000
2,50000,2,0.476082,100000
2,50000,3,0.486682,100000
2,50000,4,0.476973,100000
2,100000,0,0.462205,200000
2,100000,1,0.457850,200000
2,100000,2,0.468741,200000
2,100000,3,0.472223,200000
2,100000,4,0.468482,200000
3,10000,0,0.905391,20000
3,10000,1,0.902348,20000
3,10000,2,0.902087,20000
3,10000,3,0.898348,20000
3,10000,4,0.901130,20000
3,50000,0,0.892294,100000
3,50000,1,0.894746,100000
3,50000,2,0.889981,100000
3,50000,3,0.890485,100000
3,50000,4,0.888815,100000
3,100000,0,0.889921,200000
3,100000,1,0.891173,200000
3,100000,2,0.884182,200000
3,100000,3,0.889147,200000
3,100000,4,0.889999,200000
4,10000,0,0.966696,20000
4,10000,1,0.965043,20000
4,10000,2,0.964696,20000
4,10000,3,0.967043,20000
4,10000,4,0.966783,20000
4,50000,0,0.960365,100000
4,50000,1,0.962799,100000
4,50000,2,0.961982,100000
4,50000,3,0.960851,100000
4,50000,4,0.961512,100000
4,100000,0,0.959295,200000
4,100000,1,0.958921,200000
4,100000,2,0.959756,200000
4,100000,3,0.958304,200000
4,100000,4,0.959634,200000
