"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: hashFunction","Param: numElements","Param: tableType"
"cuckoo.benchmarks.HashFunctionBenchmark.insertAll","thrpt",1,30,83.156598,0.449201,"ops/s",MURMUR3,100000,
"cuckoo.benchmarks.HashFunctionBenchmark.insertAll","thrpt",1,30,11.319828,0.170915,"ops/s",MURMUR3,500000,
"cuckoo.benchmarks.HashFunctionBenchmark.insertAll","thrpt",1,30,85.705245,0.528954,"ops/s",XXHASH,100000,
"cuckoo.benchmarks.HashFunctionBenchmark.insertAll","thrpt",1,30,12.341364,0.157640,"ops/s",XXHASH,500000,
"cuckoo.benchmarks.HashFunctionBenchmark.insertAll","thrpt",1,30,86.683178,0.538085,"ops/s",FNV1A,100000,
"cuckoo.benchmarks.HashFunctionBenchmark.insertAll","thrpt",1,30,12.429504,0.129114,"ops/s",FNV1A,500000,
"cuckoo.benchmarks.HashFunctionBenchmark.insertAll","thrpt",1,30,86.663623,0.831740,"ops/s",UNIVERSAL,100000,
"cuckoo.benchmarks.HashFunctionBenchmark.insertAll","thrpt",1,30,12.229034,0.124629,"ops/s",UNIVERSAL,500000,
"cuckoo.benchmarks.HashFunctionBenchmark.negativeLookup","thrpt",1,30,184.879694,2.004189,"ops/s",MURMUR3,100000,
"cuckoo.benchmarks.HashFunctionBenchmark.negativeLookup","thrpt",1,30,20.259602,0.237781,"ops/s",MURMUR3,500000,
"cuckoo.benchmarks.HashFunctionBenchmark.negativeLookup","thrpt",1,30,191.318865,2.065823,"ops/s",XXHASH,100000,
"cuckoo.benchmarks.HashFunctionBenchmark.negativeLookup","thrpt",1,30,20.766222,0.201074,"ops/s",XXHASH,500000,
"cuckoo.benchmarks.HashFunctionBenchmark.negativeLookup","thrpt",1,30,190.017023,4.213259,"ops/s",FNV1A,100000,
"cuckoo.benchmarks.HashFunctionBenchmark.negativeLookup","thrpt",1,30,20.818947,0.190757,"ops/s",FNV1A,500000,
"cuckoo.benchmarks.HashFunctionBenchmark.negativeLookup","thrpt",1,30,212.984987,4.665573,"ops/s",UNIVERSAL,100000,
"cuckoo.benchmarks.HashFunctionBenchmark.negativeLookup","thrpt",1,30,18.285547,0.646067,"ops/s",UNIVERSAL,500000,
"cuckoo.benchmarks.HashFunctionBenchmark.positiveLookup","thrpt",1,30,167.041574,4.447378,"ops/s",MURMUR3,100000,
"cuckoo.benchmarks.HashFunctionBenchmark.positiveLookup","thrpt",1,30,17.657216,0.234783,"ops/s",MURMUR3,500000,
"cuckoo.benchmarks.HashFunctionBenchmark.positiveLookup","thrpt",1,30,178.062253,3.981346,"ops/s",XXHASH,100000,
"cuckoo.benchmarks.HashFunctionBenchmark.positiveLookup","thrpt",1,30,18.869484,0.240652,"ops/s",XXHASH,500000,
"cuckoo.benchmarks.HashFunctionBenchmark.positiveLookup","thrpt",1,30,180.301096,3.999229,"ops/s",FNV1A,100000,
"cuckoo.benchmarks.HashFunctionBenchmark.positiveLookup","thrpt",1,30,10.747785,0.225030,"ops/s",FNV1A,500000,
"cuckoo.benchmarks.HashFunctionBenchmark.positiveLookup","thrpt",1,30,225.389552,5.275459,"ops/s",UNIVERSAL,100000,
"cuckoo.benchmarks.HashFunctionBenchmark.positiveLookup","thrpt",1,30,18.555046,0.341091,"ops/s",UNIVERSAL,500000,
"cuckoo.benchmarks.PerfectHashBenchmark.negativeLookup","thrpt",1,30,1894.577429,60.055125,"ops/s",,30000,PERFECT
"cuckoo.benchmarks.PerfectHashBenchmark.negativeLookup","thrpt",1,30,4096.039801,369.754008,"ops/s",,30000,STANDARD
"cuckoo.benchmarks.PerfectHashBenchmark.negativeLookup","thrpt",1,30,1024.963653,34.497611,"ops/s",,30000,BUCKETIZED_4
"cuckoo.benchmarks.PerfectHashBenchmark.negativeLookup","thrpt",1,30,1154.457101,46.319268,"ops/s",,30000,LINEAR_PROBING
"cuckoo.benchmarks.PerfectHashBenchmark.negativeLookup","thrpt",1,30,1259.619630,69.848228,"ops/s",,30000,QUADRATIC_PROBING
"cuckoo.benchmarks.PerfectHashBenchmark.negativeLookup","thrpt",1,30,3625.963748,626.764322,"ops/s",,30000,HOPSCOTCH
"cuckoo.benchmarks.PerfectHashBenchmark.negativeLookup","thrpt",1,30,1006.014778,80.779307,"ops/s",,30000,ROBIN_HOOD
"cuckoo.benchmarks.PerfectHashBenchmark.negativeLookup","thrpt",1,30,759.219060,13.286771,"ops/s",,60000,PERFECT
"cuckoo.benchmarks.PerfectHashBenchmark.negativeLookup","thrpt",1,30,1384.637524,151.174414,"ops/s",,60000,STANDARD
"cuckoo.benchmarks.PerfectHashBenchmark.negativeLookup","thrpt",1,30,356.043851,5.797271,"ops/s",,60000,BUCKETIZED_4
"cuckoo.benchmarks.PerfectHashBenchmark.negativeLookup","thrpt",1,30,558.566005,29.199875,"ops/s",,60000,LINEAR_PROBING
"cuckoo.benchmarks.PerfectHashBenchmark.negativeLookup","thrpt",1,30,492.151451,7.130336,"ops/s",,60000,QUADRATIC_PROBING
"cuckoo.benchmarks.PerfectHashBenchmark.negativeLookup","thrpt",1,30,964.514901,24.068371,"ops/s",,60000,HOPSCOTCH
"cuckoo.benchmarks.PerfectHashBenchmark.negativeLookup","thrpt",1,30,338.081553,15.834248,"ops/s",,60000,ROBIN_HOOD
"cuckoo.benchmarks.PerfectHashBenchmark.positiveLookup","thrpt",1,30,2806.777841,14.534904,"ops/s",,30000,PERFECT
"cuckoo.benchmarks.PerfectHashBenchmark.positiveLookup","thrpt",1,30,5432.063388,165.457637,"ops/s",,30000,STANDARD
"cuckoo.benchmarks.PerfectHashBenchmark.positiveLookup","thrpt",1,30,1181.368431,84.018684,"ops/s",,30000,BUCKETIZED_4
"cuckoo.benchmarks.PerfectHashBenchmark.positiveLookup","thrpt",1,30,3300.345356,521.928619,"ops/s",,30000,LINEAR_PROBING
"cuckoo.benchmarks.PerfectHashBenchmark.positiveLookup","thrpt",1,30,3667.837719,189.308521,"ops/s",,30000,QUADRATIC_PROBING
"cuckoo.benchmarks.PerfectHashBenchmark.positiveLookup","thrpt",1,30,3393.504183,18.928359,"ops/s",,30000,HOPSCOTCH
"cuckoo.benchmarks.PerfectHashBenchmark.positiveLookup","thrpt",1,30,1972.747842,158.916132,"ops/s",,30000,ROBIN_HOOD
"cuckoo.benchmarks.PerfectHashBenchmark.positiveLookup","thrpt",1,30,1317.679239,14.760611,"ops/s",,60000,PERFECT
"cuckoo.benchmarks.PerfectHashBenchmark.positiveLookup","thrpt",1,30,1497.686672,114.835674,"ops/s",,60000,STANDARD
"cuckoo.benchmarks.PerfectHashBenchmark.positiveLookup","thrpt",1,30,341.223084,13.071212,"ops/s",,60000,BUCKETIZED_4
"cuckoo.benchmarks.PerfectHashBenchmark.positiveLookup","thrpt",1,30,726.064518,80.840811,"ops/s",,60000,LINEAR_PROBING
"cuckoo.benchmarks.PerfectHashBenchmark.positiveLookup","thrpt",1,30,944.025191,150.422206,"ops/s",,60000,QUADRATIC_PROBING
"cuckoo.benchmarks.PerfectHashBenchmark.positiveLookup","thrpt",1,30,1289.449396,81.709777,"ops/s",,60000,HOPSCOTCH
"cuckoo.benchmarks.PerfectHashBenchmark.positiveLookup","thrpt",1,30,492.016506,27.846070,"ops/s",,60000,ROBIN_HOOD
