hash_function,trial,avg_displacement_chain,rehash_count,max_load_factor
MurmurHash3,0,0.1533,0,0.899928
MurmurHash3,1,0.1541,0,0.899928
MurmurHash3,2,0.1503,0,0.899928
MurmurHash3,3,0.1489,0,0.899928
MurmurHash3,4,0.1547,0,0.899910
xxHash32,0,0.1593,0,0.899928
xxHash32,1,0.1487,0,0.899928
xxHash32,2,0.1515,0,0.899928
xxHash32,3,0.1460,0,0.899910
xxHash32,4,0.1491,0,0.899928
FNV1a,0,0.1570,0,0.899928
FNV1a,1,0.1538,0,0.899910
FNV1a,2,0.1437,0,0.899928
FNV1a,3,0.1477,0,0.899928
FNV1a,4,0.1444,0,0.899910
