table_type,operation,ops_per_sec
STANDARD,insert,11145465
STANDARD,positive_lookup,42357273
STANDARD,negative_lookup,17599361
STANDARD,mixed,9584667
BUCKETIZED_4,insert,5618949
BUCKETIZED_4,positive_lookup,13620943
BUCKETIZED_4,negative_lookup,8565876
BUCKETIZED_4,mixed,3901988
STASHED_3,insert,5532370
STASHED_3,positive_lookup,13088076
STASHED_3,negative_lookup,8022504
STASHED_3,mixed,5701310
CHAINING,insert,7351530
CHAINING,positive_lookup,26075604
CHAINING,negative_lookup,22342072
CHAINING,mixed,11585015
LINEAR_PROBING,insert,10306770
LINEAR_PROBING,positive_lookup,20119778
LINEAR_PROBING,negative_lookup,28487384
LINEAR_PROBING,mixed,14803256
HOPSCOTCH,insert,6887400
HOPSCOTCH,positive_lookup,23339115
HOPSCOTCH,negative_lookup,25858123
HOPSCOTCH,mixed,13223279
ROBIN_HOOD,insert,1723186
ROBIN_HOOD,positive_lookup,14761876
ROBIN_HOOD,negative_lookup,9929602
ROBIN_HOOD,mixed,8896469
D_ARY_3,insert,3383042
D_ARY_3,positive_lookup,23844576
D_ARY_3,negative_lookup,10223659
D_ARY_3,mixed,12553247
